[413990.0, 834.0, 181.0, 20.0, 3572.0, 472.0, 3561.0, 0.32499999999999996]	413990,834,181,20,3572,472,3561,0.32499999999999996	 150 R1: 0 1 3 8 10 5 6 9 1 5 2 3 9 7 6 8 5 7 4 5 3 6 11 9 10 1 5 0  R2: 0 8 9 8 4 1 10 7 5 3 8 1 10 9 6 4 8 7 1 5 9 3 11 0  R3: 0 7 10 0  R4: 0 6 9 4 10 11 3 5 1 10 9 11 4 1 0  R5: 0 1 4 0  R6: 0 4 11 7 5 9 3 4 5 7 6 0  R7: 0 9 10 11 2 9 8 5 9 10 1 8 2 0  R8: 0 5 2 3 11 7 0  R9: 0 8 3 1 2 0  R10: 0 10 8 4 10 7 5 2 9 0  R11: 0 3 5 7 9 7 2 11 2 3 10 11 6 0  R12: 0 7 10 7 6 9 1 11 3 11 8 1 8 4 1 3 5 9 6 1 2 5 7 0  R13: 0 5 8 0  R14: 0 8 4 0  R15: 0 6 2 9 1 11 6 0  R16: 0 2 7 1 8 1 2 5 2 11 2 8 11 6 2 9 4 6 4 8 1 11 3 0  R17: 0 1 4 3 5 7 6 9 0  R18: 0 5 1 3 9 8 10 0  R19: 0 8 10 0  R20: 0 4 6 10 2 5 8 6 4 10 5 10 8 3 6 1 7 5 6 4 11 10 6 10 8 5 9 3 0  
[420270.0, 919.0, 181.0, 20.0, 3675.0, 413.0, 3644.0, 0.38749999999999996]	420270,919,181,20,3675,413,3644,0.38749999999999996	 150 R1: 0 1 3 8 10 5 6 9 1 5 2 3 9 7 6 8 5 7 4 5 3 6 11 9 10 1 5 0  R2: 0 4 10 0  R3: 0 8 9 8 4 1 10 7 5 3 8 1 10 9 6 4 8 7 1 5 9 3 11 0  R4: 0 7 1 8 2 5 8 3 7 2 11 5 7 10 8 10 9 1 9 1 4 6 0  R5: 0 6 10 4 3 4 1 0  R6: 0 1 2 7 5 11 4 7 4 6 1 9 8 11 4 5 3 0  R7: 0 2 6 1 5 8 0  R8: 0 10 8 2 1 4 0  R9: 0 5 10 5 2 8 0  R10: 0 9 10 8 0  R11: 0 10 7 0  R12: 0 3 9 3 11 0  R13: 0 7 10 6 4 5 9 11 5 11 6 8 10 3 1 4 11 10 4 9 5 4 11 1 8 3 11 6 0  R14: 0 11 8 0  R15: 0 7 2 9 8 1 2 11 5 11 9 3 5 3 7 11 8 4 6 9 0  R16: 0 6 9 0  R17: 0 7 1 3 2 0  R18: 0 1 7 9 4 7 10 2 5 9 10 3 1 2 9 5 1 9 2 4 3 10 6 10 0  R19: 0 5 9 3 10 0  R20: 0 7 5 2 11 8 6 3 8 1 2 11 8 3 0  
[410011.0, 806.0, 174.0, 17.0, 3660.0, 504.0, 3441.0, 0.25]	410011,806,174,17,3660,504,3441,0.25	 150 R1: 0 1 3 8 10 5 6 1 5 2 3 9 7 6 8 5 7 4 5 3 6 11 9 10 1 5 0  R2: 0 4 10 4 10 7 4 1 5 1 2 8 9 3 11 4 0  R3: 0 6 5 1 0  R4: 0 3 10 0  R5: 0 1 5 7 1 9 7 6 2 10 11 9 11 3 2 9 4 6 0  R6: 0 2 4 1 0  R7: 0 5 10 8 7 6 5 11 10 5 9 6 10 11 8 3 4 11 10 4 11 9 6 10 0  R8: 0 9 10 1 4 2 9 4 8 4 3 1 5 7 2 6 8 1 8 2 5 9 3 0  R9: 0 8 1 0  R10: 0 3 7 3 11 9 2 3 6 9 10 8 2 8 0  R11: 0 7 11 7 8 11 7 5 2 7 3 10 8 1 10 6 3 7 9 5 4 11 1 6 11 0  R12: 0 6 9 0  R13: 0 7 9 2 8 0  R14: 0 1 5 4 8 3 8 11 2 11 9 8 7 4 9 2 8 6 4 0  R15: 0 2 5 7 0  R16: 0 6 2 4 6 11 5 1 0  R17: 0 4 10 8 1 8 9 5 7 1 8 6 4 3 1 9 8 10 5 10 9 1 4 8 3 2 5 6 0  
[410562.0, 724.0, 180.0, 21.0, 3661.0, 546.0, 3287.0, 0.3571428571428571]	410562,724,180,21,3661,546,3287,0.3571428571428571	 150 R1: 0 4 11 6 1 9 0  R2: 0 3 10 0  R3: 0 4 7 6 2 10 4 3 2 9 4 10 6 11 7 4 2 6 8 3 4 8 3 0  R4: 0 1 3 0  R5: 0 9 6 0  R6: 0 8 7 11 9 5 8 6 1 7 8 7 2 6 3 4 5 2 11 1 9 8 0  R7: 0 9 11 0  R8: 0 1 4 0  R9: 0 5 10 5 9 6 11 2 5 7 8 10 4 11 1 10 6 4 11 6 5 8 4 3 7 6 0  R10: 0 3 1 3 10 11 5 0  R11: 0 9 10 1 2 9 4 9 1 10 2 8 1 9 3 7 9 5 3 10 6 10 4 0  R12: 0 6 10 4 10 6 5 0  R13: 0 3 9 8 7 2 1 5 0  R14: 0 10 5 0  R15: 0 11 6 5 7 1 7 2 10 0  R16: 0 7 11 10 7 5 8 1 4 10 3 11 6 4 3 4 1 7 5 1 10 1 2 9 1 5 11 9 1 11 8 0  R17: 0 2 7 5 9 0  R18: 0 1 4 0  R19: 0 8 3 0  R20: 0 11 2 11 9 8 2 5 3 10 7 8 2 3 9 5 0  R21: 0 4 1 8 5 6 10 3 1 3 2 5 7 9 6 8 5 3 9 5 10 6 1 5 9 0  
[416378.0, 1076.0, 195.0, 16.0, 3842.0, 466.0, 3578.0, 0.28125]	416378,1076,195,16,3842,466,3578,0.28125	 150 R1: 0 6 5 8 4 3 0  R2: 0 9 7 2 5 1 5 6 5 8 10 1 4 3 6 3 5 7 1 2 9 1 8 0  R3: 0 1 5 10 7 11 2 5 2 3 11 9 11 5 6 8 0  R4: 0 8 2 8 5 6 8 6 4 1 9 5 7 11 9 2 6 5 4 6 11 3 1 9 0  R5: 0 10 9 10 2 4 9 7 10 9 10 1 4 6 4 3 10 3 7 6 3 10 8 1 5 0  R6: 0 1 4 5 2 0  R7: 0 3 10 0  R8: 0 8 2 3 1 0  R9: 0 10 7 11 2 3 8 0  R10: 0 3 9 0  R11: 0 7 2 3 7 11 1 4 6 8 5 3 6 7 4 7 1 9 4 2 3 11 5 9 1 11 10 0  R12: 0 7 11 1 9 7 8 11 4 10 5 7 2 3 8 5 1 8 10 5 9 3 6 0  R13: 0 8 10 8 3 10 7 3 11 5 1 6 4 10 11 2 9 8 1 5 6 5 11 0  R14: 0 1 4 3 5 9 2 10 9 10 6 10 0  R15: 0 5 2 8 1 0  R16: 0 4 11 6 4 3 9 7 2 3 1 6 2 9 8 10 4 6 4 10 11 6 10 4 8 3 1 9 5 0  
[428047.0, 924.0, 195.0, 21.0, 4152.0, 501.0, 3118.0, 0.30952380952380953]	428047,924,195,21,4152,501,3118,0.30952380952380953	 150 R1: 0 8 3 0  R2: 0 6 10 9 4 7 6 1 10 6 10 4 2 5 9 8 11 9 6 0  R3: 0 1 11 1 4 5 6 8 4 10 5 2 3 0  R4: 0 10 3 10 1 3 4 3 2 10 3 1 8 3 1 3 10 7 3 4 3 6 4 8 10 0  R5: 0 7 11 5 3 0  R6: 0 9 2 11 0  R7: 0 2 7 1 2 5 7 4 3 11 8 9 5 1 2 10 8 6 0  R8: 0 5 8 3 5 1 8 1 9 2 3 7 2 11 5 8 9 4 5 11 9 6 5 8 3 1 7 10 0  R9: 0 2 3 0  R10: 0 2 11 7 5 9 11 6 10 3 4 3 5 9 0  R11: 0 6 8 2 4 5 0  R12: 0 6 5 8 4 3 9 7 2 1 5 6 10 1 4 6 7 5 9 1 2 10 11 0  R13: 0 3 9 0  R14: 0 8 3 0  R15: 0 4 8 0  R16: 0 7 9 7 9 5 8 1 4 10 11 9 7 5 7 8 3 11 5 10 8 1 10 6 8 0  R17: 0 5 4 8 5 2 0  R18: 0 2 8 5 11 8 6 5 3 11 1 2 6 4 7 9 5 4 6 9 1 3 8 5 11 0  R19: 0 1 4 7 2 1 3 0  R20: 0 6 1 0  R21: 0 6 3 0  
[445715.0, 1172.0, 198.0, 20.0, 4249.0, 494.0, 3298.0, 0.23750000000000004]	445715,1172,198,20,4249,494,3298,0.23750000000000004	 150 R1: 0 1 11 3 4 8 1 10 5 11 8 9 7 2 4 11 1 10 8 9 10 11 1 5 0  R2: 0 9 7 3 8 5 6 5 11 6 9 1 0  R3: 0 8 3 10 4 7 6 9 2 8 1 11 6 8 10 1 2 6 10 4 11 9 1 3 8 11 0  R4: 0 10 1 5 11 6 4 7 9 0  R5: 0 6 1 8 10 0  R6: 0 5 9 4 6 5 10 5 6 4 10 3 10 1 3 4 3 1 3 7 3 10 6 8 5 0  R7: 0 3 10 0  R8: 0 2 11 2 7 3 11 5 8 7 4 10 5 3 4 6 7 10 0  R9: 0 8 3 2 1 0  R10: 0 6 5 6 1 0  R11: 0 3 7 1 3 2 1 2 10 7 5 3 4 1 3 5 1 2 11 5 9 6 5 3 1 0  R12: 0 6 9 5 2 10 9 8 7 5 0  R13: 0 2 5 6 3 9 5 1 4 7 8 0  R14: 0 7 5 8 2 9 11 0  R15: 0 8 4 3 0  R16: 0 8 2 4 8 5 8 3 11 8 7 10 9 6 2 4 5 9 6 8 1 0  R17: 0 6 9 0  R18: 0 7 2 0  R19: 0 2 1 3 7 10 9 4 10 3 5 2 8 11 9 4 11 6 9 5 8 3 9 0  R20: 0 1 4 0  
[408973.0, 959.0, 157.0, 18.0, 4003.0, 474.0, 3307.0, 0.33333333333333337]	408973,959,157,18,4003,474,3307,0.33333333333333337	 150 R1: 0 1 8 0  R2: 0 1 11 3 8 1 10 4 5 11 8 9 4 11 7 1 10 1 2 11 9 8 3 6 4 0  R3: 0 4 10 0  R4: 0 10 5 9 8 5 6 5 1 7 3 11 8 9 10 7 6 9 2 1 6 10 11 4 1 11 9 5 0  R5: 0 8 2 1 8 1 6 8 10 3 6 11 4 7 11 6 10 8 10 5 4 6 5 9 3 8 0  R6: 0 5 11 6 7 2 0  R7: 0 3 10 7 3 1 5 2 5 1 2 4 3 6 5 6 3 8 1 2 3 4 6 7 0  R8: 0 2 11 5 9 2 9 6 7 10 0  R9: 0 3 9 7 5 1 3 2 11 10 2 3 1 2 7 1 10 5 9 3 7 8 10 0  R10: 0 7 1 7 4 6 2 4 7 10 8 6 10 5 3 7 10 3 7 2 4 6 5 9 6 1 8 4 0  R11: 0 8 9 2 11 0  R12: 0 5 9 8 6 5 8 3 4 1 0  R13: 0 4 8 5 0  R14: 0 7 2 7 6 0  R15: 0 1 9 10 5 4 3 2 10 3 6 1 5 10 5 1 11 3 8 4 3 10 11 5 9 0  R16: 0 7 3 0  R17: 0 7 5 0  R18: 0 6 9 1 0  
[412905.0, 719.0, 161.0, 16.0, 3883.0, 473.0, 3214.0, 0.265625]	412905,719,161,16,3883,473,3214,0.265625	 150 R1: 0 5 9 0  R2: 0 1 8 1 3 11 4 8 10 5 1 8 7 1 11 9 10 1 2 4 11 8 3 6 0  R3: 0 6 8 5 2 8 6 1 10 4 9 3 6 5 10 11 9 0  R4: 0 10 3 10 7 8 1 2 6 5 9 10 2 9 7 0  R5: 0 11 8 0  R6: 0 3 1 3 4 6 2 5 2 10 3 7 11 4 3 5 9 7 4 7 2 3 10 6 8 0  R7: 0 8 2 3 0  R8: 0 7 3 7 6 11 9 2 6 5 7 4 1 3 6 8 1 8 4 3 0  R9: 0 4 8 7 10 3 11 8 0  R10: 0 11 6 0  R11: 0 7 9 2 10 5 11 2 8 11 9 3 11 1 10 6 8 4 7 1 11 6 10 1 5 11 0  R12: 0 7 5 2 1 8 5 6 7 3 6 9 2 10 3 5 2 6 7 5 3 9 8 0  R13: 0 1 2 3 9 2 4 10 2 1 6 5 3 2 5 7 6 1 8 9 5 0  R14: 0 11 9 4 5 8 4 6 1 10 3 10 5 7 5 8 9 6 1 4 6 11 9 10 8 0  R15: 0 8 5 0  R16: 0 11 6 9 5 11 9 1 0  
[426367.0, 743.0, 162.0, 21.0, 3689.0, 554.0, 3257.0, 0.38095238095238093]	426367,743,162,21,3689,554,3257,0.38095238095238093	 150 R1: 0 5 7 5 9 0  R2: 0 1 8 5 8 2 4 3 6 8 6 1 10 6 5 9 10 7 3 10 8 6 5 9 0  R3: 0 9 8 0  R4: 0 10 1 2 7 2 4 11 10 3 9 6 8 1 5 3 10 11 2 7 4 6 8 3 1 0  R5: 0 9 5 0  R6: 0 2 5 7 10 2 6 9 2 3 6 4 1 3 8 5 7 3 10 11 9 0  R7: 0 4 6 4 10 4 0  R8: 0 5 9 1 3 11 4 10 8 5 1 8 1 7 2 8 11 9 4 11 3 10 1 6 9 11 0  R9: 0 3 10 3 1 8 10 5 9 6 5 2 8 7 0  R10: 0 4 6 0  R11: 0 10 3 0  R12: 0 3 7 4 6 7 9 2 3 11 8 4 3 7 10 6 4 7 8 5 9 11 1 4 0  R13: 0 8 3 0  R14: 0 8 2 9 6 1 0  R15: 0 11 7 11 1 5 8 10 7 6 3 11 3 8 4 10 1 2 6 10 11 4 0  R16: 0 8 10 8 2 1 11 6 11 8 5 9 6 3 2 8 3 4 0  R17: 0 4 5 8 0  R18: 0 7 9 5 9 7 11 0  R19: 0 4 3 0  R20: 0 6 5 3 1 5 4 0  R21: 0 6 1 8 9 0  
[411311.0, 1044.0, 167.0, 20.0, 3801.0, 488.0, 3562.0, 0.30000000000000004]	411311,1044,167,20,3801,488,3562,0.30000000000000004	 150 R1: 0 1 5 3 7 6 1 2 9 10 7 4 9 3 11 7 3 5 3 4 8 6 2 0  R2: 0 9 6 0  R3: 0 11 2 9 3 0  R4: 0 10 9 6 10 2 4 3 9 2 6 5 7 5 2 6 1 10 9 6 4 11 3 10 9 8 0  R5: 0 8 1 8 4 3 11 10 9 3 10 3 5 6 4 6 8 1 10 8 3 6 2 0  R6: 0 5 7 5 9 8 1 5 8 3 6 4 1 2 10 5 6 8 9 3 10 6 5 9 1 11 0  R7: 0 10 8 9 1 4 3 0  R8: 0 3 10 3 10 0  R9: 0 2 3 0  R10: 0 6 5 9 0  R11: 0 10 8 7 1 5 10 0  R12: 0 3 9 5 2 0  R13: 0 7 10 8 5 8 6 8 1 9 2 11 3 7 4 10 5 7 2 8 1 8 3 11 0  R14: 0 11 6 0  R15: 0 9 8 3 4 6 10 2 5 0  R16: 0 2 3 5 7 9 7 4 6 4 10 4 3 2 5 11 3 6 10 4 1 2 1 5 11 9 7 0  R17: 0 1 11 3 1 4 8 3 7 3 0  R18: 0 6 1 9 0  R19: 0 4 11 8 7 11 8 4 11 8 6 5 0  R20: 0 2 6 8 0  
